id,name,category,region,batch,projectCode,protectUnits,tags,popularity,experienceValue,intro,detailUrl,manualVector
national-0386,蒙古族绰尔,传统音乐,新疆维吾尔自治区阿勒泰地区,第二批,Ⅱ—134,,传统音乐,78,70,蒙古族绰尔是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为新疆维吾尔自治区阿勒泰地区。,,
national-0387,黎族竹木器乐,传统音乐,海南省保亭黎族苗族自治县、五指山市,第二批,Ⅱ—135,,传统音乐；声音艺术；现场聆听,78,70,黎族竹木器乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为海南省保亭黎族苗族自治县、五指山市。,,
national-0388,口弦音乐,传统音乐,四川省布拖县,第二批,Ⅱ—136,,传统音乐；声音艺术；现场聆听,78,70,口弦音乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为四川省布拖县。,,
national-0389,口弦音乐,传统音乐,四川省北川羌族自治县,第三批扩展项目,Ⅱ—136,,传统音乐；声音艺术；现场聆听,75,70,口弦音乐是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为四川省北川羌族自治县。,,
national-0390,吟诵调（常州吟诵）,传统音乐,江苏省常州市,第二批,Ⅱ—137,,传统音乐；常州吟诵；舞台表演；传统审美,78,70,吟诵调（常州吟诵）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省常州市。,,
national-0391,佛教音乐（天宁寺梵呗唱诵、鱼山梵呗、大相国寺梵乐、直孔噶举派音乐、拉卜楞寺佛殿音乐道得尔、青海藏族唱经调、北武当庙寺庙音乐）,传统音乐,江苏省常州市，山东省东阿县，河南省开封市，西藏自治区墨竹工卡县，甘肃省夏河县，青海省兴海县，宁夏回族自治区平罗县,第二批,Ⅱ—138,,传统音乐；天宁寺梵呗唱诵；鱼山梵呗；大相国寺梵乐；直孔噶举派音乐；拉卜楞寺佛殿音乐道得尔；青海藏族唱经调；北武当庙寺庙音乐,78,70,佛教音乐（天宁寺梵呗唱诵、鱼山梵呗、大相国寺梵乐、直孔噶举派音乐、拉卜楞寺佛殿音乐道得尔、青海藏族唱经调、北武当庙寺庙音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省常州市，山东省东阿县，河南省开封市，西藏自治区墨竹工卡县，甘肃省夏河县，青海省兴海县，宁夏回族自治区平罗县。,,
national-0392,佛教音乐（楞严寺寺庙音乐、觉囊梵音、洋县佛教音乐、塔尔寺花架音乐）,传统音乐,山西省左云县，四川省壤塘县，陕西省洋县，青海省湟中县,第三批扩展项目,Ⅱ—138,,传统音乐；楞严寺寺庙音乐；觉囊梵音；洋县佛教音乐；塔尔寺花架音乐；声音艺术；现场聆听,75,70,佛教音乐（楞严寺寺庙音乐、觉囊梵音、洋县佛教音乐、塔尔寺花架音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为山西省左云县，四川省壤塘县，陕西省洋县，青海省湟中县。,,
national-0393,佛教音乐（金山寺水陆法会仪式音乐、雄色寺绝鲁）,传统音乐,江苏省镇江市，西藏自治区曲水县,第四批扩展项目,Ⅱ—138,,传统音乐；金山寺水陆法会仪式音乐；雄色寺绝鲁；声音艺术；现场聆听；生活传统；民俗节庆,73,70,佛教音乐（金山寺水陆法会仪式音乐、雄色寺绝鲁）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为江苏省镇江市，西藏自治区曲水县。,,
national-0394,道教音乐（广宗太平道乐、恒山道乐、上海道教音乐、无锡道教音乐、齐云山道场音乐、崂山道教音乐、泰山道教音乐、胶东全真道教音乐、腊山道教音乐、海南斋醮科仪音乐、成都道教音乐、白云山道教音乐、清水道教音乐）,传统音乐,河北省广宗县，山西省阳高县，上海市道教协会，江苏省无锡市，安徽省休宁县，山东省青岛市崂山区、泰安市、烟台市、东平县，海南省定安县，四川省成都市，陕西省佳县，甘肃省清水县,第二批,Ⅱ—139,,传统音乐；广宗太平道乐；恒山道乐；上海道教音乐；无锡道教音乐；齐云山道场音乐；崂山道教音乐；泰山道教音乐,78,70,道教音乐（广宗太平道乐、恒山道乐、上海道教音乐、无锡道教音乐、齐云山道场音乐、崂山道教音乐、泰山道教音乐、胶东全真道教音乐、腊山道教音乐、海南斋醮科仪音乐、成都道教音乐、白云山道教音乐、清水道教音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为河北省广宗县，山西省阳高县，上海市道教协会，江苏省无锡市，安徽省休宁县，山东省青岛市崂山区、泰安市、烟台市、东平县，海南省定安县，四川省成都市，陕西省佳县，甘肃省清水县。,,
national-0395,道教音乐（东岳观道教音乐、澳门道教科仪音乐）,传统音乐,浙江省平阳县，澳门特别行政区,第三批扩展项目,Ⅱ—139,,传统音乐；东岳观道教音乐；澳门道教科仪音乐；声音艺术；现场聆听,75,70,道教音乐（东岳观道教音乐、澳门道教科仪音乐）是传统音乐类国家级非物质文化遗产代表性项目，申报地区或单位为浙江省平阳县，澳门特别行政区。,,
